X,Y,station_name
43.73219165,-79.26569632,Kennedy
43.7502148,-79.27090721,Lawrence East
43.76722615,-79.27731467,Ellesmere
43.77016839,-79.27248232,Midland
43.77384411,-79.25786316,Scarborough Centre
43.77551255,-79.25154339,McCowan
