Neighbourhood ID,Neighbourhood Name,"Rate per 100,000 people",Case Count,Rate
92,Corso Italia-Davenport,2426.944032,343,0.14133
63,The Beaches,625.9563222,135,0.21567
48,Hillcrest Village,1334.593126,226,0.16934
43,Victoria Village,3021.130782,529,0.1751
50,Newtonbrook East,938.0629931,151,0.16097
62,East End-Danforth,1412.469015,302,0.21381
40,St.Andrew-Windfields,976.8695262,174,0.17812
132,Malvern,3995.981185,1750,0.43794
96,Casa Loma,1285.557987,141,0.10968
134,Highland Creek,3609.732672,451,0.12494
65,Greenwood-Coxwell,1297.079836,187,0.14417
39,Bedford Park-Nortown,2216.388363,515,0.23236
13,Etobicoke West Mall,3241.053342,384,0.11848
33,Clanton Park,2234.09422,368,0.16472
105,Lawrence Park North,944.7525159,138,0.14607
35,Westminster-Branson,4483.519829,1178,0.26274
113,Weston,5491.32948,988,0.17992
94,Wychwood,1693.497805,243,0.14349
95,Annex,1821.398152,556,0.30526
37,Willowdale West,1287.198866,218,0.16936
76,Bay Street Corridor,1066.015428,275,0.25797
